"profile","scenario","scope","fixture_sha256","source_sha256","cache_policy","output_state","diagnostic_mode","sample_ms","lld_threads","collector_sha256","post_exit_grace_ms","linker","metric","attempts","failures","q75","min","p95","n","q25","sd","mean","max","median"
"dev","calibration","linker","52d38d7028b73b09ea70576be7fc63f5d29350c857307511ad09abe805f54e6e","132e72528e74f93c355aeac362662d00fd33373af4b5eb02f52883463ae1ff72","warm-filesystem","fresh","none","50","0",,"1000","msvc","wall_s","3","0","5,7078145","5,6371861",,"3","5,66462415","0,043714131019728715","5,6842717","5,7235668","5,6920622"
"dev","calibration","linker","52d38d7028b73b09ea70576be7fc63f5d29350c857307511ad09abe805f54e6e","132e72528e74f93c355aeac362662d00fd33373af4b5eb02f52883463ae1ff72","warm-filesystem","fresh","none","50","0",,"1000","msvc","tree_cpu_s","3","0","13,546875","12,984375",,"3","13,234375","0,33071891388307384","13,359375","13,609375","13,484375"
"dev","calibration","linker","52d38d7028b73b09ea70576be7fc63f5d29350c857307511ad09abe805f54e6e","132e72528e74f93c355aeac362662d00fd33373af4b5eb02f52883463ae1ff72","warm-filesystem","fresh","none","50","0",,"1000","msvc","peak_tree_commit_bytes","3","0","3025049600","3021176832",,"3","3021686784","3624676,122971173","3023758677,3333335","3027902464","3022196736"
"dev","calibration","linker","52d38d7028b73b09ea70576be7fc63f5d29350c857307511ad09abe805f54e6e","132e72528e74f93c355aeac362662d00fd33373af4b5eb02f52883463ae1ff72","warm-filesystem","fresh","none","50","0",,"1000","msvc","observed_peak_working_set_bytes","3","0","5447286784","5411241984",,"3","5415694336","34200302,33642021","5435271850,666667","5474426880","5420146688"
"dev","calibration","linker","52d38d7028b73b09ea70576be7fc63f5d29350c857307511ad09abe805f54e6e","132e72528e74f93c355aeac362662d00fd33373af4b5eb02f52883463ae1ff72","warm-filesystem","fresh","none","50","0",,"1000","msvc","read_bytes","3","0","3184525522","3184525522",,"3","3184525522","0","3184525522","3184525522","3184525522"
"dev","calibration","linker","52d38d7028b73b09ea70576be7fc63f5d29350c857307511ad09abe805f54e6e","132e72528e74f93c355aeac362662d00fd33373af4b5eb02f52883463ae1ff72","warm-filesystem","fresh","none","50","0",,"1000","msvc","write_bytes","3","0","775102930","775089795",,"3","775089879","15021,73416531305","775098551,6666666","775115897","775089963"
"dev","calibration","linker","52d38d7028b73b09ea70576be7fc63f5d29350c857307511ad09abe805f54e6e","132e72528e74f93c355aeac362662d00fd33373af4b5eb02f52883463ae1ff72","warm-filesystem","fresh","none","50","0",,"1000","msvc","tree_page_faults","3","0","1945064","1927484",,"3","1935482","10272,675211452954","1939204","1946648","1943480"
"dev","calibration","linker","52d38d7028b73b09ea70576be7fc63f5d29350c857307511ad09abe805f54e6e","132e72528e74f93c355aeac362662d00fd33373af4b5eb02f52883463ae1ff72","warm-filesystem","fresh","none","50","0",,"1000","msvc","exe_bytes","3","0","173351424","173351424",,"3","173351424","0","173351424","173351424","173351424"
"dev","calibration","linker","52d38d7028b73b09ea70576be7fc63f5d29350c857307511ad09abe805f54e6e","132e72528e74f93c355aeac362662d00fd33373af4b5eb02f52883463ae1ff72","warm-filesystem","fresh","none","50","0",,"1000","msvc","pdb_bytes","3","0","778440704","778440704",,"3","778440704","0","778440704","778440704","778440704"
"dev","calibration","linker","52d38d7028b73b09ea70576be7fc63f5d29350c857307511ad09abe805f54e6e","132e72528e74f93c355aeac362662d00fd33373af4b5eb02f52883463ae1ff72","warm-filesystem","fresh","none","50","0",,"1000","lld","wall_s","3","0","4,5270265","4,4971123",,"3","4,50917115","0,01821773493412395","4,5170551","4,5328230000000005","4,52123"
"dev","calibration","linker","52d38d7028b73b09ea70576be7fc63f5d29350c857307511ad09abe805f54e6e","132e72528e74f93c355aeac362662d00fd33373af4b5eb02f52883463ae1ff72","warm-filesystem","fresh","none","50","0",,"1000","lld","tree_cpu_s","3","0","15,234375","14,546875",,"3","14,6796875","0,5792500314702912","15,005208333333334","15,65625","14,8125"
"dev","calibration","linker","52d38d7028b73b09ea70576be7fc63f5d29350c857307511ad09abe805f54e6e","132e72528e74f93c355aeac362662d00fd33373af4b5eb02f52883463ae1ff72","warm-filesystem","fresh","none","50","0",,"1000","lld","peak_tree_commit_bytes","3","0","1570648064","1569021952",,"3","1569529856","1119769,7908933484","1570106026,6666667","1571258368","1570037760"
"dev","calibration","linker","52d38d7028b73b09ea70576be7fc63f5d29350c857307511ad09abe805f54e6e","132e72528e74f93c355aeac362662d00fd33373af4b5eb02f52883463ae1ff72","warm-filesystem","fresh","none","50","0",,"1000","lld","observed_peak_working_set_bytes","3","0","4948084736","4946927616",,"3","4947202048","903484,5099221864","4947699029,333333","4948692992","4947476480"
"dev","calibration","linker","52d38d7028b73b09ea70576be7fc63f5d29350c857307511ad09abe805f54e6e","132e72528e74f93c355aeac362662d00fd33373af4b5eb02f52883463ae1ff72","warm-filesystem","fresh","none","50","0",,"1000","lld","read_bytes","3","0","298198","298198",,"3","298198","0","298198","298198","298198"
