"run_id","invocation_id","parent_build_id","pair_id","order","profile","scenario","scope","linker","fixture_sha256","source_sha256","cache_policy","output_state","diagnostic_mode","sample_ms","lld_threads","warmup","collector_sha256","post_exit_grace_ms","application_link","capture","exit_code","valid","wall_s","tree_wall_s","cpu_user_s","cpu_kernel_s","tree_cpu_s","average_logical_cpus","peak_tree_commit_bytes","observed_peak_working_set_bytes","tree_page_faults","observed_peak_threads","tree_process_count","read_bytes","write_bytes","read_operations","write_operations","exe_bytes","pdb_bytes","estimated_other_cpu_s","warning_count","started_unix_ms","command_sha256","metrics_path"
"dev-calibration-msvc-20260913T202057456-e55c384a",,,"calibration-20260913T202026763-5bf67f5f-msvc-2","0","dev","calibration","linker","msvc","52d38d7028b73b09ea70576be7fc63f5d29350c857307511ad09abe805f54e6e","132e72528e74f93c355aeac362662d00fd33373af4b5eb02f52883463ae1ff72","warm-filesystem","fresh","none","0","0","False",,"1000","True",,"0","True","5,5265769","6,5287313000000005","8,078125","4,59375","13,109375","2,0079513764029464","3051884544",,"1942898",,"4","3184525522","775089985","7532","22222","173351424","778440704","3,25","0","1789330857484","e6a99c23f171dcdfd0598df7baa7d92aaa1cc1426f7a7d9104e0b754a8a61de9","C:\Users\sampo\git\GitComet\target\linker-bench\20260913-main\runs\dev-calibration-msvc-20260913T202057456-e55c384a\metrics.json"
"dev-calibration-msvc-20260913T202104951-bd14e693",,,"calibration-20260913T202026763-5bf67f5f-msvc-2","1","dev","calibration","linker","msvc","52d38d7028b73b09ea70576be7fc63f5d29350c857307511ad09abe805f54e6e","132e72528e74f93c355aeac362662d00fd33373af4b5eb02f52883463ae1ff72","warm-filesystem","fresh","none","50","0","False",,"1000","True",,"0","True","5,6371861","6,6392913","7,375","5,125","12,984375","1,9556868968831056","3022196736","5474426880","1927484","38","4","3184525522","775089795","7532","22221","173351424","778440704","5,140625","0","1789330864975","df96a3534d41068b2a7b524000a03cab2a0119006d6b07e21b05579e0a1de215","C:\Users\sampo\git\GitComet\target\linker-bench\20260913-main\runs\dev-calibration-msvc-20260913T202104951-bd14e693\metrics.json"
"dev-preflight-lld-20260913T201920075-91ab2d90",,,"","0","dev","preflight","linker","lld","52d38d7028b73b09ea70576be7fc63f5d29350c857307511ad09abe805f54e6e","132e72528e74f93c355aeac362662d00fd33373af4b5eb02f52883463ae1ff72","warm-filesystem","fresh","none","50","0","True",,"1000","True",,"0","True","4,4917916","4,4918142","10,953125","3,28125","14,234375","3,168958992115034","1572626432","4950036480","1353398","37","2","298198","18262","39","2","173348864","870604800","4,28125","0","1789330760100","35f12f2c7f037125e1d6b0573055c85529ee342ac2ada08c7b5cba60270cd61c","C:\Users\sampo\git\GitComet\target\linker-bench\20260913-main\runs\dev-preflight-lld-20260913T201920075-91ab2d90\metrics.json"
"dev-preflight-lld-20260913T202355764-4e1819d2",,,"","0","dev","preflight","linker","lld","52d38d7028b73b09ea70576be7fc63f5d29350c857307511ad09abe805f54e6e","132e72528e74f93c355aeac362662d00fd33373af4b5eb02f52883463ae1ff72","warm-filesystem","fresh","none","50","0","True",,"1000","True",,"0","True","4,5823123","4,5888171","11,34375","3,234375","14,59375","3,180285830088979","1571627008","4949704704","1353220","37","2","298198","18262","39","2","173348864","870604800","6,328125","0","1789331035794","8d42c1b4648634b7659b330312dd1995bd57c19ab2780e1c258a519db28d7d78","C:\Users\sampo\git\GitComet\target\linker-bench\20260913-main\runs\dev-preflight-lld-20260913T202355764-4e1819d2\metrics.json"
"dev-preflight-msvc-20260913T201912198-5aeaa864",,,"","0","dev","preflight","linker","msvc","52d38d7028b73b09ea70576be7fc63f5d29350c857307511ad09abe805f54e6e","132e72528e74f93c355aeac362662d00fd33373af4b5eb02f52883463ae1ff72","warm-filesystem","fresh","none","50","0","True",,"1000","True",,"0","True","5,635607","6,6384067","8,1875","4,671875","13,25","1,995960868140242","3030171648","5432713216","1946012","38","4","3184572844","775089467","7533","22214","173351424","778432512","6,984375","0","1789330752259","ed00172b063979026bf7ba2162f8018e320a2841767c3302064d8741a78171e8","C:\Users\sampo\git\GitComet\target\linker-bench\20260913-main\runs\dev-preflight-msvc-20260913T201912198-5aeaa864\metrics.json"
"dev-preflight-msvc-20260913T202347552-3b364d74",,,"","0","dev","preflight","linker","msvc","52d38d7028b73b09ea70576be7fc63f5d29350c857307511ad09abe805f54e6e","132e72528e74f93c355aeac362662d00fd33373af4b5eb02f52883463ae1ff72","warm-filesystem","fresh","none","50","0","True",,"1000","True",,"0","True","5,7218148","6,7271619000000005","7,8125","4,25","12,5625","1,8674294132864557","3019780096","5440651264","1903706","38","4","3184525522","775090235","7532","22212","173351424","778440704","5,328125","0","1789331027608","f01b379ac62baff89c0da5e5b8da4d5e75bb672bf9e4e17e97195ee21737aa99","C:\Users\sampo\git\GitComet\target\linker-bench\20260913-main\runs\dev-preflight-msvc-20260913T202347552-3b364d74\metrics.json"
"dev-preparation-lld-20260913T200819625-c551825b",,,,,"dev","preparation","cargo","lld",,"132e72528e74f93c355aeac362662d00fd33373af4b5eb02f52883463ae1ff72","warm-filesystem","fresh","none","50",,"False",,,,,"101","True","6,4737471","6,5023213","0,234375","0,796875","1,140625","0,17541812337080298","100421632","112750592","55531","5","6","40562922","27346","2966","42",,,"18,140625",,"1789330099653","bf45bfda0e6246fc14a69a485aaa086b9b09412937e5d969178431b73dfc9996","C:\Users\sampo\git\GitComet\target\linker-bench\20260913-main\runs\dev-preparation-lld-20260913T200819625-c551825b\metrics.json"
"dev-preparation-lld-20260913T200921081-1f3b3725",,,,,"dev","preparation","cargo","lld",,"132e72528e74f93c355aeac362662d00fd33373af4b5eb02f52883463ae1ff72","warm-filesystem","fresh","none","50",,"False",,,,,"101","True","0,6029406","0,602954","0,21875","0,296875","0,59375","0,9847351539255068","101163008","108965888","55529","5","6","40562922","2222","2965","28",,,"2,09375",,"1789330161111","bf45bfda0e6246fc14a69a485aaa086b9b09412937e5d969178431b73dfc9996","C:\Users\sampo\git\GitComet\target\linker-bench\20260913-main\runs\dev-preparation-lld-20260913T200921081-1f3b3725\metrics.json"
"dev-preparation-lld-20260913T201251871-dbdab6c2","1789330373602756500-14056","dev-preparation-lld-20260913T201251871-dbdab6c2",,,"dev","preparation","linker","lld",,"132e72528e74f93c355aeac362662d00fd33373af4b5eb02f52883463ae1ff72","warm-filesystem","fresh","none","50",,"False",,,"False","False","0","True","0,19624","0,253025","0,125","0,046875","0,1875","0,7410334947139611","13373440","26484736","9372","38","2","43150","0","10","0",,,"8,671875",,"1789330373606","43fbc7e4fb876aa5c18cf9deb125a05da0c1a1849da118f8d6ae9a5b9746a765","C:\Users\sampo\git\GitComet\target\linker-bench\20260913-main\runs\dev-preparation-lld-20260913T201251871-dbdab6c2\links\1789330373602756500-14056\metrics.json"
"dev-preparation-lld-20260913T201251871-dbdab6c2","1789330373660522900-21756","dev-preparation-lld-20260913T201251871-dbdab6c2",,,"dev","preparation","linker","lld",,"132e72528e74f93c355aeac362662d00fd33373af4b5eb02f52883463ae1ff72","warm-filesystem","fresh","none","50",,"False",,,"False","False","0","True","0,1735856","0,2757392","0,03125","0,109375","0,15625","0,5666586397581482","13750272","30392320","9854","1","2","43126","0","10","0",,,"9,21875",,"1789330373669","93df1dbcbc7d9f9b54624e3f61a263f24cdab34751d384a7c9174f25bd8bb8c7","C:\Users\sampo\git\GitComet\target\linker-bench\20260913-main\runs\dev-preparation-lld-20260913T201251871-dbdab6c2\links\1789330373660522900-21756\metrics.json"
